시군구,시설명,소유기관,관리주체,부지면적,건축면적,연면적,경기장 내야 바닥재료,경기장 외야 바닥재료,중앙길이,1루_3루,면적,좌석수,수용인원,준공연도
목포시,목포야구장,목포시,야구소프트볼협회,24624,334,334,마사토,마사토,122,99,13150,300,300,2018
목포시,목포 리틀야구장,목포시,목포시,17271,63,63,인조잔디,인조잔디,75,30,5700,,,2022
여수시,진남 야구경기장,여수시,여수시,40434,476,476,인조잔디,인조잔디,115,98,16000,370,500,2008
여수시,진남 실내야구연습장,여수시,여수시,874,874,982,인조잔디,,38,,760,,30,2009
순천시,상사호야구장 1,순천시,순천시,43340,,,마사토,마사토,80,60,4910,,,2015
순천시,상사호야구장 2,순천시,순천시,43340,,,마사토,마사토,110,90,7906,,,2015
순천시,팔마야구장,순천시,순천시,25000,857,992,인조잔디,인조잔디,122,99,12598,366,366,2017
나주시,영산강둔치체육공원 야구장,나주시,나주시,8200,,"8,200",마사토,토사,100,95,8200,,,2012
나주시,영산강저류지체육공원,나주시,나주시,107300,,,마사토,마사토,122,99,13150,80,100,2015
담양군,백진공원야구장,담양군,담양군,16000,,,천연잔디,천연잔디,122,99,13867,,,2013
담양군,고서생활체육공원,담양군,담양군,48841,,,마사토,마사토,110,27,11100,,,2019
담양군,홍수조절지 야구장,담양군,담양군,35567,,,마사토,마사토,110,38,22000,,,2017
곡성군,석곡대황강체육공원 야구장,곡성군,위탁_석곡면 청년회,42888,3813,777,인조잔디,인조잔디,140,27,11540,200,500,2016
고흥군,고흥거금야구장_정규,고흥군,고흥군,37229,,,인조잔디,인조잔디,124,100,12633,,,2014
고흥군,고흥거금야구장_보조,고흥군,고흥군,37229,,,인조잔디,인조잔디,108,80,9027,,,2016
보성군,회천생태공원야구장,보성군,보성군,16860,150,150,인조잔디,인조잔디,123,98,13500,100,100,2012
화순군,화순야구장,전라남도교육청,전라남도 화순교육지원청,19792,262,415,인조잔디,인조잔디,112,39,9757,80,100,2021
장흥군,장흥댐정남진 군립 야구장,장흥군,장흥군,32010,1245,"1,245",천연잔디,천연잔디,99,110,12265,300,300,2017
장흥군,장흥생활체육야구장,장흥군,장흥군,8686,,,마사토,마사토,100,95,8686,,,2013
해남군,해남야구장,해남군,해남군,19000,,,인조잔디,인조잔디,115,95,17000,,,2020
영암군,마골 야구장,영암군,영암군,390198,1483,"5,483",토사,토사,93,28,7900,,,1990
영암군,영암종합스포츠타운야구장,영암군,영암군,71104,280,550,인조,인조,116,38,11581,60,,2014
영암군,남해포권역야구장,영암군,남해포권역,166058,125,125,인조,인조,116,38,10516,,,2014
무안군,무안생활야구장,무안군,무안군,12662,,,마사토,마사토,100,120,13662,40,,2014
무안군,유소년야구장,무안군,무안군,5260,76,76,마사토,마사토,71,30,5000,30,30,2019
함평군,함평 리틀야구장,함평군,함평군,9808,1483,"5,483",토사,토사,62,19,4000,100,100,2004
함평군,전남 야구경기장,함평군,함평군,23031,198,198,토사,토사,100,120,12000,99,99,2000
함평군,함평 야구장,함평군,함평군,15000,200,200,천연잔디(마사),천연잔디(마사),125,99,12000,150,150,2014
영광군,대마산단야구장,영광군,영광군,39129,,,쳔연잔디,천연잔디,117,92,11193,80,80,2013
영광군,백수수변공원간이야구장,영광군,영광군,48500,,,천연잔디,천연잔디,88,38,7550,40,40,2020
완도군,완도야구장,완도군,완도군,38931,163,163,인조,토사,117,95,11760,100,100,2009
진도군,아리랑야구장,진도군,진도군,12350,,,마사토,천연잔디,123,98,8650,,100,2019
